ID;Item_Description;Box Label Mask;Type
1;AAK KIT;;CASE-AAK
2;ACB ANTENNA KIT;;CASE
3;AMATEUR HF RADIO;;RAD-AM
4;ANALOG CONFERENCE PHONE;;MISC
5;ANALOG FAX MACHINE;;MISC
6;ANALOG TELEPHONE ADAPTER;;VoIP-ATA
7;ANTA KIT;;CASE
8;ANTENNA ANALYZER KIT;;CASE-AAK
9;ANTENNA CONTROL UNIT;;ANT-PARTS
10;ANTENNA MOUNTS;;ANT-PARTS
11;ANTENNA ROTATOR CONTROLLER;;ANT-PARTS
12;ANTENNA, KRECO CO-35A;;ANTENNA
13;ANTL KIT;;CASE-ANTL
14;ARK KIT;;CASE-ARK
15;AT&T HOT SPOT 5 PACK;;CASE-ATH5
16;AT&T HOT SPOT 5PACK;;CASE-ATH5
17;AT&T HOTSPOT 5 PACK;;CASE-ATH5
18;AT&T HOTSPOT 5PACK;;CASE-ATH5
19;AT&T WIFI HOT SPOT KIT 5 PACK;;CASE-ATH5
20;AT&T WIFI HOT SPOT KIT 5PACK;;CASE-ATH5
21;AT&T WIFI HOTSPOT KIT 5 PACK;;CASE-ATH5
22;AT&T WIFI HOTSPOT KIT 5PACK;;CASE-ATH5
23;ATT;;CELL-A
24;ATT CLASSIC PHONE KIT;;CASE-ATC
25;ATT ERP KIT;;CASE-ATERP
26;ATT ISLAND HOT SPOT;;CASE-ATH2
27;ATT KIT;;CASE-ATT
28;ATT SMART PHONE KIT;;CASE-ATT
29;ATT WIFI HOT SPOT KIT 5 PACK;;CASE-ATH5
30;ATT WIFI HOT SPOT KIT 5PACK;;CASE-ATH5
31;ATT WIFI HOTSPOT KIT;;CASE-ATHS
32;ATT WIFI HOTSPOT KIT 5 PACK;;CASE-ATH5
33;ATT WIFI HOTSPOT KIT 5PACK;;CASE-ATH5
34;AUB ANTENNA KIT;;CASE-AUB
35;BASE STATION CONSOLE;;MISC-RCM
36;BASE TRANSCEIVER;LB-RBK-###;RAD-LBM
37;BASE TRANSCEIVER;LB-RBK-###;RADIO
38;BASE TRANSCEIVER;LBM-####;RAD-LBM
39;BASE TRANSCEIVER;FBL-####;RAD-FBL
40;BASE TRANSCEIVER;ARK-####;RAD-AM
41;BASE TRANSCEIVER;;RADIO
42;BASE TRANSCEIVER AMATEUR;;RAD-AM
43;BASE TRANSCEIVER LB;;RAD-FBL
44;BDA KIT;;CASE-BDA
45;BDG KIT;;CASE-BDG
46;BEAM ANTENNA;CBN-####;ANTENNA
47;BEAM ANTENNA;AUB-####;ANT-AUB
48;BECKY KIT A;;CASE-VSAT
49;BECKY KIT B;;CASE-VSAT
50;BECKY KIT C;;CASE-VSAT
51;BGAN KIT;;CASE-BGAN
52;BHH KIT;BHHB-####;CASE-BHHB
53;BHH KIT;BHHA-####;CASE-BHHA
54;BIRDOG;BDG-####;TESTEQ
55;BLACKBERRY;;MISC
56;BLACKBERRY RAW20IN;;MISC
57;BLUECELL KIT;;CASE
58;BROTHER LABEL MAKER;;CASE-LBL
59;BUBBLE JET PRINTER;;MISC
60;CABLE ANALYZER;;TESTEQ
61;CARDBOARD BOX;;CASE-BOX
62;CBA ANTENNA;;ANTENNA
63;CBA KIT;;CASE
64;CBJ 4PK;;CASE
65;CBL KIT;;CASE-CBL
66;CBN KIT;;CASE
67;CBR;;CASE
68;CD-ROM DRIVE;;MISC
69;CELL PHONE;VZNC-####;CELL-V
70;CELL PHONE;VZN-####;CELL-VS
71;CELL PHONE;VERP-####;CELL-V
72;CELL PHONE;ATTC-####;CELL-A
73;CELL PHONE;ATT-####;CELL-AS
74;CELL PHONE;AERP-####;CELL-A
75;CELL PHONE;;CELL-O
76;CELL PHONE BDA;;CASE-BDA
77;CELL PHONE, CLASSIC;VZNC-####;CELL-V
78;CELL PHONE, CLASSIC;VERP-####;CELL-V
79;CELL PHONE, CLASSIC;ATTC-####;CELL-A
80;CELL PHONE, CLASSIC;AERP-####;CELL-A
81;CELL PHONE, CLASSIC;;CELL-O
82;CELL PHONE, SMART;VZN7-####;CELL-VS
83;CELL PHONE, SMART;VZN-####;CELL-VS
84;CELL PHONE, SMART;ATT7-####;CELL-AS
85;CELL PHONE, SMART;ATT-####;CELL-AS
86;CELL PHONE, SMART;;CELL-O
87;CELLPHONE;;CELL-O
88;CELLULAR AMPLIFIER;;RADIO
89;CELLULAR AMPLIFIER (BDA) KIT;;CASE-BDA
90;CIN KIT;;CELL-O
91;CISCO 1800 KIT;;CASE
92;CNE KIT;;CASE-DRCN
93;COMM COAX KIT;;CASE-RCK
94;COMMUNICATIONS COAX KIT;;CASE-RCK
95;CONFERENCE IP PHONE;;VoIP-SP
96;CONNECTIVITY BOX;;CASE-BLU
97;CP SIM CARD;;SIM
98;CRADLEPOINT KIT;;CASE-CPK
99;CRADLEPOINT ROUTER;;RTR-CELL
100;CROSSBAND REPEATER;;RAD-RPT
101;DELL E54 6 PK;;CASE-LE54
102;DELL E54 6PK;;CASE-LE54
103;DELL E547 6 PK;;CASE-LE547
104;DELL E547 6PK;;CASE-LE547
105;DELL E548 6 PK;;CASE-LE548
106;DELL E548 6PK;;CASE-LE548
107;DELL E84 6PK;;CASE-LE84
108;DELL MULTIFUNCTION PRINTER KIT;;CASE-GALT
109;DEPLOYED SERVER;;SERV
110;DEPLOYED UPS;;SERV
111;DESK JET PRINTER;;MISC
112;DIGITAL ANTENNA AC POWER SUPPLY;;MISC-RCM
113;DIGITAL ANTENNA DC POWER SUPPLY;;MISC-RCM
114;DIGITAL INDOOR ANTENNA;;ANTENNA
115;DIRECT TV RECEIVER;;MISC
116;DOCKING STATION;;MISC-RCO
117;DOME ANTENNA;MSAT-####;ANTENNA
118;DRCN CABLE REEL;;VSAT
119;DRCN CABLE REEL KIT;;CASE-DRCN
120;DRCN REFLECTOR BOTTOM;;VSAT
121;DRCN REFLECTOR TOP;;VSAT
122;DRO SERVER;;CASE-DROS
123;DRO SERVER KIT;;CASE-DROS
124;DROS KIT;;CASE-DROS
125;DSS ELEVATION BRACKET;;MISC
126;DSS LNB;;MISC
127;DSS PARTS;;MISC
128;DSS REFLECTOR;;MISC
129;DST KIT;;CASE-DST
130;DTT KIT;;CASE
131;DTV TRIPOD KIT;;CASE
132;E54 1PK;;CASE-DROS
133;E54 6 PK;;CASE-LE54
134;E54 6PK;;CASE-LE54
135;E547 6 PK;;CASE-LE547
136;E547 6PK;;CASE-LE547
137;E548 6 PK;;CASE-LE548
138;E548 6PK;;CASE-LE548
139;E84 6 PK;;CASE-LE84
140;E84 6PK;;CASE-LE84
141;ECRV ACU-1000;;MISC-RCM
142;ECRV AMPLIFIER;;MISC-RCM
143;ECRV CB TRANSCEIVER;;MISC-RCM
144;ECRV TDL 6PK;;CASE
145;ECRV TRANSCEIVER;;MISC-RCM
146;EMPTY CASE;;CASE
147;ERV LOWBAND HANDHELD;;RAD-LHH
148;ERV TRANSCEIVER;;MISC-RCM
149;ETHERNET REMOTE PANEL;;MISC-RNT
150;EXT EXTENSION CORD KIT;;CASE-EXT
151;EXTENSION CORD KIT;;CASE-EXT
152;EXTERNAL HARD DRIVE;;MISC-RCO
153;FAU KIT;;CASE
154;FBL KIT;;CASE-FBL
155;FEED BOOM ASSEMBLY;;VSAT
156;FEED BOOM STRUT;;VSAT
157;FIP KIT;;CASE
158;FIREWALL;;MISC-RNT
159;FIXED ACCESS UNIT;;MISC
160;FTK KIT;;CASE-TLK
161;G2;;SAT-MSAT
162;G2 HANDSET;;SAT-MSAT
163;GANG CHARGER KIT;;CASE
164;GCK KIT;;CASE
165;GIGASTACK GBIC MODULE;;MISC-RNT
166;GPS KIT;;CASE-GPS
167;GPS NAVIGATION SYSTEM;;GPS
168;GPS UNIT;;GPS
169;GS5 KIT;;CASE
170;GSK KIT;;CASE
171;GSP KIT;;CASE
172;GTU KIT;;CASE-GTU
173;HANDHELD TRANSCEIVER;UHH-####;RAD-UHH
174;HANDHELD TRANSCEIVER;SWR-####;RAD-LHH
175;HANDHELD TRANSCEIVER;RAK-####;RAD-LHH
176;HANDHELD TRANSCEIVER;LHH-####;RAD-LHH
177;HANDHELD TRANSCEIVER;ECRV UHH-###;RAD-UHH
178;HANDHELD TRANSCEIVER;BHHA-####;RAD-BHH
179;HANDHELD TRANSCEIVER;;RADIO
180;HANDHELD TRANSCEIVER BB;;RAD-BHH
181;HANDHELD TRANSCEIVER LB;;RAD-LHH
182;HANDHELD TRANSCEIVER UHF;;RAD-UHH
183;HF BASE TRANSCEIVER;;RAD-HF
184;HF RADIO KIT;;CASE
185;HP E84 6 PK;;CASE-LE84
186;HP E84 6PK;;CASE-LE84
187;HPL KIT;;CASE
188;IDL 1PK;;CASE
189;INDOOR ANTENNA;CBN-####;ANTENNA
190;INKJET PRINTER;;MISC
191;INMARSAT KIT;;CASE
192;IP FAX;FIP-####;CASE-FIP
193;IP PHN KIT;;CASE-IPP
194;IP PHONE;;VoIP-PHN
195;IP PHONE EXPANSIONS;;VoIP-PHN
196;IP PHONE, CONFERENCE;;VoIP-SP
197;IPICS SERVER;;MISC-RCM
198;IRI KIT;IR3-####;CASE-IR3
199;IRI KIT;;CASE-IRI
200;IRIDIUM TRANSPORTABLE KIT;;CASE-IRI
201;ISP KIT;;CASE-ISP
202;ITRONIX SINGLE PK;;CASE
203;KEYBOARD 9 PK;;CASE-KB9
204;KEYBOARD 9PK;;CASE-KB9
205;KEYBOARD MONITOR;;SERV
206;KPL KIT;;CASE-POKI
207;KVM SWITCH;;MISC
208;LAPTOP COMPUTER;VSAT-###F;LT
209;LAPTOP COMPUTER;VSAT-####F;LT
210;LAPTOP COMPUTER;SCK-##;SERV
211;LAPTOP COMPUTER;RPK-####;LT
212;LAPTOP COMPUTER;LT45-####;LT-T450
213;LAPTOP COMPUTER;LE84-####;LT-E8400
214;LAPTOP COMPUTER;LE548-####;LT-E5480
215;LAPTOP COMPUTER;LE547-####;LT-E5470
