ID;Model;Length;Width;Depth
1;0340;21.0;21.0;20.0
2;340;21.0;21.0;20.0
3;0350;23.0;23.0;22.0
4;350;23.0;23.0;22.0
5;0370;27.0;27.0;26.0
6;370;27.0;27.0;26.0
7;0910;5.0;4.0;1.0
8;910;5.0;4.0;1.0
9;0920;5.0;4.0;1.0
10;920;5.0;4.0;1.0
11;0930;5.0;4.0;1.0
12;930;5.0;4.0;1.0
13;0940;5.0;4.0;1.0
14;940;5.0;4.0;1.0
15;1010;6.0;5.0;3.0
16;i1010;6.0;5.0;3.0
17;1020;7.0;5.0;3.0
18;1030;8.0;4.0;3.0
19;i1030;8.0;4.0;3.0
20;1040;8.0;6.0;3.0
21;1050;8.0;6.0;4.0
22;1060;10.0;6.0;3.0
23;1080;14.0;11.0;3.0
24;1120;9.0;7.0;4.0
25;1150;10.0;8.0;5.0
26;1200;11.0;10.0;5.0
27;1300;11.0;10.0;7.0
28;1400;14.0;12.0;6.0
29;1430;17.0;19.0;14.0
30;1440;20.0;12.0;18.0
31;1450;16.0;13.0;7.0
32;1470;17.0;14.0;5.0
33;1490;20.0;14.0;5.0
34;1490CC1;20.0;14.0;5.0
35;1495;22.0;18.0;5.0
36;1495CC1;22.0;18.0;5.0
37;1495CC2;22.0;18.0;5.0
38;1500;19.0;15.0;7.0
39;1500EMS;19.0;15.0;7.0
40;1510;22.0;14.0;9.0
41;1520;20.0;16.0;8.0
42;1550;21.0;17.0;9.0
43;1550EMS;21.0;17.0;9.0
44;1560;23.0;18.0;11.0
45;1600;25.0;20.0;9.0
46;1600EMS;25.0;20.0;9.0
47;1610;25.0;20.0;12.0
48;1620;25.0;20.0;14.0
49;1630;32.0;25.0;18.0
50;1640;28.0;28.0;17.0
51;1650;31.0;21.0;12.0
52;1660;32.0;23.0;19.0
53;1690;34.0;29.0;19.0
54;1700;39.0;16.0;7.0
55;1720;45.0;16.0;7.0
56;1750;53.0;16.0;7.0
57;1780;45.0;26.0;17.0
58;1780T;45.0;26.0;17.0
59;1780W;45.0;26.0;17.0
