Record Number;Reference Number;ESN/CAP #;Description;Manufacturer;Model Number;Type;Vendor;In Stock;Returned to Vendor;Remarks;Date In Stock;Received Via;Date to Vendor;Comm Box;Purchased;Purchase Price;Purchase Date;Authority for Purchase;Donated;Donated Date;Loan;Loan Date;Rental;Rental Date;Rental Fee;Rental Period;Location;Telephone Number;Physical Inventory;RMC Shipping Date;Shipping Weight;Maintenance Comment
1;MCBL-0014;902109;MCBL KIT;Pelican;1620;CASE-MCBL;DSMC;-1;0;;2018-10-05 00:00:00;;;MCBL-0014;0;331.95;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;65;
2;LE547-9112;951626;DELL E547 6PK;PELICAN;1620;CASE-LE547;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9112;0;331.95;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;69;
3;E547-0306;930235;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
4;E547-0009;915721;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9112;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
5;E547-1776;949284;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9112;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
6;E547-1945;949541;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9112;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
7;E547-1325;948441;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
8;E547-2184;949782;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
9;LE547-9109;951973;DELL E547 6PK;PELICAN;1620;CASE-LE547;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9109;0;331.95;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;69;
10;E547-1941;949437;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9109;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
11;E547-1534;948651;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
12;E547-2978;951175;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
13;E547-2331;949931;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
14;E547-2894;950939;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
15;E547-1492;948588;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9109;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
16;LE547-9106;951864;DELL E547 6PK;PELICAN;1620;CASE-LE547;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9106;0;331.95;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;69;
17;E547-1930;949526;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
18;E547-1916;949512;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9106;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
19;E547-1463;948579;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
20;E547-1865;949461;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;0;0;;2018-10-05 00:00:00;;;UNASSIGNED;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
21;E547-1892;949488;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9106;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
22;E547-1298;948414;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9106;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
23;LE547-9060;951685;DELL E547 6PK;PELICAN;1620;CASE-LE547;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9060;0;331.95;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;69;
24;E547-1565;948680;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9060;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
25;E547-1931;949527;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9060;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
26;E547-0077;915789;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9060;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
27;E547-1703;948823;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9060;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
28;E547-1944;949440;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9060;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
29;E547-1414;948530;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9060;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
30;LE547-9100;951814;DELL E547 6PK;PELICAN;1620;CASE-LE547;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9100;0;331.95;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;69;
31;E547-2351;949912;LAPTOP COMPUTER;DELL;LATITUDE E5470;LT-E5470;DSMC;-1;0;;2018-10-05 00:00:00;;;LE547-9100;0;1200.0;;;0;;0;;0;;0.0;;DROHQ;;0;2018-07-04 00:00:00;0;
