ID;Type;Long Title;Box Label;Data Format;Case;NameReq;UseTelephone;Orphanable;Length;Width;Depth;Weight;DSTActivity;Container
96;ANT-AUB;Antenna: UHF Beam;AUB-nnnn;;0;0;0;0;;;;;CM;
98;ANT-PARTS;Antenna: Parts;;;0;0;0;0;;;;;CM;
97;ANTENNA;Antenna: Miscellaneous;;;0;0;0;0;;;;;CM;
99;BAR;Barcode Reader;;;0;0;0;0;;;;;CO;
100;BGAN;Satellite Data Terminal;BGAN-nnnn;BGAN-nnnn;0;0;0;0;;;;;CM;
101;CAM-WEB;USB Webcam;WEB-nnnn;CAM-nn;0;-1;0;0;;;;;CO;
102;CARD;Credit/Mission/Fuel Card;;nnnn nnnn nnnn nnnn;0;-1;0;0;;;;;CS;
1;CASE;Miscellaneous Case;;CASE-;-1;0;0;0;;;;;CS;
2;CASE-AAK;Antenna Analyzer Kit;AAK-nnnn;AAK-;-1;0;0;0;20;16;8;16;CM;PELICAN 1520
3;CASE-ADM;Tube: Amateur Dual Band Mobile Antenna;ADM-nnnn;ADM-;-1;0;0;0;;;;3;CM;TUBE
4;CASE-ADV;Antenna: Amateur Dual Band Vertical 2PK;ADV-nnnn;ADV-;-1;0;0;0;;;;26;CM;CASE
5;CASE-ALB;Tube: Low Band Base Antenna;ALB-nnnn;ALB-;-1;0;0;0;;;;8;CM;TUBE
6;CASE-ALM;Tube: Low Band Mobile Antenna;ALM-nnnn;ALM-;-1;0;0;0;;;;5;CM;TUBE
7;CASE-ANTA;Antenna: Amateur Mobile VHF/UHF;ANTA-nnnn;ANTA-;-1;0;0;0;45;16;7;10;CM;PELICAN 1700
8;CASE-ANTL;Antenna: Low Band Mobile (?);ANTL-nnnn;ANTL-;-1;0;0;0;45;16;7;10;CM;PELICAN 1720
9;CASE-ARK;Radio: Amatuer Mobile;ARK-nnnn;ARK-;-1;0;0;0;25;20;9;37;CM;PELICAN 1600
10;CASE-ATC;AT&T Cell Phone - 10PK;ATTC-nnnn;ATTC;-1;0;0;0;20;16;8;23;CM;PELICAN 1520
11;CASE-ATERP;AT&T Cell Phone - 50PK;AERP-nnnn;AERP-;-1;0;0;0;25;20;14;55;CM;PELICAN 1620
12;CASE-ATH2;AT&T  Hot Spot - 2PK;AIHS-nnnn;AIHS-;-1;0;0;0;10;8;5;4;NT;PELICAN 1150
13;CASE-ATH5;AT&T  Hot Spot - 5PK;AHS5-nnnn;AHS5-;-1;0;0;0;11;10;5;4;NT;PELICAN 1200
14;CASE-ATHS;AT&T Hot Spot - 10PK;AHS-nnnn;AHS-;-1;0;0;0;20;16;8;16;NT;PELICAN 1520
15;CASE-ATT;AT&T Smartphone - 10PK;ATT-nnnn;ATT-;-1;0;0;0;20;16;8;14;CM;PELICAN 1520
16;CASE-AUB;Antenna: UHF Beam;AUB-nnnn;AUB-;-1;0;0;0;39;16;7;21;CM;PELICAN 1700
17;CASE-AUV;Antenna: UHF Vertical Kit;AUV-nnnn;AUV-;-1;0;0;0;;;;;CM;
18;CASE-AVV;Antenna: VHF Vertical Kit;AVV-nnnn;AVV-;-1;0;0;0;;;;;CM;
19;CASE-BDA;Radio: Cell Phone Amplifier Kit;BDA-nnnn;BDA-nnnn;-1;0;0;0;25;20;14;39;CM;PELICAN 1650
20;CASE-BDG;Birddog Satellite Finder;BDG-nnnn;BDG-;-1;0;0;0;14;12;6;7;NT;PELICAN 1400
21;CASE-BGAN;Satellite Data Terminal Kit;BGAN-nnnn;BGAN-;-1;0;0;0;20;16;8;99;NT;PELICAN 1520
22;CASE-BHHA;Business Band Handheld - 10PK;BHHA-nnnn;BHHA-;-1;0;0;0;19;15;7;18;CM;PELICAN 1520
23;CASE-BHHB;Business Band Chargers - 10PK;BHHB-nnnn;BHHB-;-1;0;0;0;19;15;7;12;CM;PELICAN 1500
24;CASE-BLU;Connectivity Box;SVR-nn;SVR-;-1;0;0;0;28;27;18;110;CO;BLUE CASE
25;CASE-BOX;Cardboard Box (for miscellaneous items);;BOX-;-1;0;0;0;;;;;CS;
