MakeID;Manufacturer;MfgFilter
1; UNKNOWN;2
2;ACURA;1
3;ALFA ROMEO;1
4;AM GENERAL;1
5;ASTON MARTIN;1
6;AUDI;1
7;AZTEC;1
8;BENTLEY;1
9;BMW;1
10;Bobko;3
11;BUGATTI;1
12;BUICK;1
13;CADILLAC;1
14;Capacits;3
15;Cargo South;3
16;Caterpillar       ca;3
17;CHEVROLET;2
18;CHRYSLER;2
19;CITROEN;1
20;Clark;3
21;Crown;3
22;DACIA;1
23;DAEWOO;2
24;DAIHATSU;2
25;DAIMLER;2
26;DODGE/RAM;2
27;Doosan;3
28;DORSEY;2
29;Drake;3
30;East;3
31;FERRARI;1
32;FIAT;2
33;Fontaine;3
34;FORD;2
35;Freightliner;3
36;Fruehauf;3
37;GEO/CHEVROLET;1
38;GINDY;1
39;GMC;2
40;Great Dane;3
41;Grt;3
42;Hobbs;3
43;Holden;3
44;HONDA;2
45;HUMMER;1
46;Hyster;3
47;Hyu;3
48;HYUNDAI;2
49;INFINITI;1
50;International;2
51;ISUZU;2
52;JAGUAR;1
53;JEEP;1
54;Jlg;3
55;Kentucky;3
56;Kenworth;3
57;KIA;2
58;Komatsu;3
59;KT;1
60;LAMBORGHINI;1
61;LANCIA;1
62;LAND ROVER;1
63;LEXUS;1
64;LINCOLN;1
65;LOTUS;1
66;Lufkin;3
67;Mack;3
68;Man;3
69;Manac;3
70;MASERATI;1
71;MAYBACH;1
72;MAZDA;2
73;MERCEDES;2
74;MERCURY;1
75;MINI;1
76;MITSUBISHI;2
77;MONON;1
78;NISSAN;2
79;Nuv;3
80;Nuvan;3
81;OLDSMOBILE;1
82;OPEL;2
83;Ottawa;3
84;PACE;1
85;Peterbilt;3
86;PEUGEOT;2
87;Pines;3
88;Pitt Boss;3
89;PLYMOUTH;1
90;PONTIAC;1
91;PORSCHE;1
92;Psa;3
93;Ravens;3
94;Reitnour;3
95;RENAULT;2
96;Ret;3
97;ROLLS ROYCE;2
98;SAAB;2
99;SATURN/GM;1
100;SCION;1
101;Seat;3
102;SHELBY;1
103;Skoda;2
104;SMART;1
105;Sterling;3
106;Stoughton;3
107;Strik;3
108;SUBARU;1
109;SUZUKI;2
110;Tarasport;3
111;TESLA;1
112;Timpte;3
113;TOYOTA;2
114;Trail King;3
115;Trailmobile;3
116;Transcraft;3
117;Utility;3
118;Van;3
119;Vanguard;3
120;Vantage;3
121;Vauxhall;3
122;VOLKSWAGEN;2
123;VOLVO;2
124;Wabash;3
125;Western Star;3
126;Wheeled Coach;3
127;White;3
128;Wilson;3
129;Zodiac;3
